order_id,agent_age,agent_rating,store_latitude,store_longitude,drop_latitude,drop_longitude,order_date,order_time,pickup_time,weather,traffic,vehicle,area,delivery_time,category,outlier_delivery_time,distance,age_group,order_datetime,pickup_datetime,pickup_hour,time_of_day,order_to_pickup_min
uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14:55:00,15:10:00,windy,High ,scooter ,Metropolitian ,33,Grocery,False,6.21800119018663,26-35,2022-03-01 14:55:00,2022-03-01 15:10:00,15,Afternoon,15.0
zotl583816092,32,3.5,0.0,0.0,0.11,0.11,2022-03-08,21:35:00,21:45:00,stormy,Jam ,scooter ,Urban ,35,Grocery,False,17.29786575291325,26-35,2022-03-08 21:35:00,2022-03-08 21:45:00,21,Evening,10.0
zkat983341391,35,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,17:25:00,17:30:00,cloudy,Medium ,motorcycle ,Metropolitian ,33,Grocery,False,10.865464603780389,26-35,2022-03-14 17:25:00,2022-03-14 17:30:00,17,Afternoon,5.0
nvck471535045,37,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,10:55:00,11:00:00,fog,Low ,scooter ,Urban ,16,Grocery,False,3.0272369309754272,36-45,2022-02-13 10:55:00,2022-02-13 11:00:00,11,Morning,5.0
emlt327861941,23,4.8,0.0,0.0,0.02,0.02,2022-03-07,10:40:00,10:50:00,stormy,Low ,scooter ,Metropolitian ,15,Grocery,False,3.145067434621583,18-25,2022-03-07 10:40:00,2022-03-07 10:50:00,10,Morning,10.0
okvp821614347,25,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,23:55:00,00:10:00,cloudy,Low ,scooter ,Urban ,19,Grocery,False,4.610035602260694,18-25,2022-03-26 23:55:00,2022-03-26 00:10:00,0,Night,-1425.0
jjcl090851660,31,4.2,12.986047,80.218114,13.096047,80.328114,2022-03-23,21:20:00,21:30:00,sandstorms,Jam ,motorcycle ,Metropolitian ,50,Grocery,False,17.076258901183188,26-35,2022-03-23 21:20:00,2022-03-23 21:30:00,21,Evening,10.0
jxsj508533395,37,4.7,12.3085,76.665808,12.3385,76.695808,2022-04-01,22:35:00,22:40:00,windy,Low ,scooter ,Metropolitian ,26,Grocery,False,4.663566689152146,36-45,2022-04-01 22:35:00,2022-04-01 22:40:00,22,Evening,5.0
lubd358643567,24,4.6,0.0,0.0,0.06,0.06,2022-03-07,23:25:00,23:40:00,stormy,Low ,scooter ,Urban ,19,Grocery,False,9.435201537430714,18-25,2022-03-07 23:25:00,2022-03-07 23:40:00,23,Evening,15.0
ibwr067523869,23,4.7,13.044694,80.26147,13.084694,80.30147,2022-03-17,16:55:00,17:00:00,fog,Medium ,motorcycle ,Urban ,19,Grocery,False,6.209259882041872,18-25,2022-03-17 16:55:00,2022-03-17 17:00:00,17,Afternoon,5.0
kiyg810534481,25,4.7,19.178321,72.834715,19.248321,72.904715,2022-03-16,23:35:00,23:45:00,sandstorms,Low ,motorcycle ,Metropolitian ,16,Grocery,False,10.705559922396555,18-25,2022-03-16 23:35:00,2022-03-16 23:45:00,23,Evening,10.0
rabu202619192,20,4.7,26.482419,80.320939,26.502419,80.340939,2022-02-11,11:10:00,11:25:00,cloudy,High ,scooter ,Metropolitian ,25,Grocery,False,2.9845125598688362,18-25,2022-02-11 11:10:00,2022-02-11 11:25:00,11,Morning,15.0
kxfb230420855,35,4.9,27.160832,78.011608,27.230832,78.081608,2022-02-18,21:15:00,21:30:00,cloudy,Jam ,motorcycle ,Metropolitian ,53,Grocery,False,10.41706579035871,26-35,2022-02-18 21:15:00,2022-02-18 21:30:00,21,Evening,15.0
bwhs416644198,23,4.8,21.15276,72.778059,21.28276,72.908059,2022-03-12,20:40:00,20:45:00,windy,Jam ,motorcycle ,Metropolitian ,28,Grocery,False,19.76218981785925,18-25,2022-03-12 20:40:00,2022-03-12 20:45:00,20,Evening,5.0
rfxd157515921,22,4.8,22.753839,75.897429,22.773839,75.917429,2022-04-01,10:00:00,10:05:00,stormy,Low ,motorcycle ,Other,19,Grocery,False,3.0250598092773755,18-25,2022-04-01 10:00:00,2022-04-01 10:05:00,10,Morning,5.0
ceed295586354,24,4.6,12.98041,77.640489,13.06041,77.720489,2022-03-23,18:30:00,18:40:00,windy,Medium ,van,Urban ,24,Grocery,False,12.41960204102968,18-25,2022-03-23 18:30:00,2022-03-23 18:40:00,18,Afternoon,10.0
erap841821582,30,4.6,19.131141,72.813074,19.16114,72.843074,2022-03-07,19:00:00,19:10:00,sunny,Medium ,motorcycle ,Metropolitian ,26,Grocery,False,4.588898780683796,26-35,2022-03-07 19:00:00,2022-03-07 19:10:00,19,Evening,10.0
qqjl805129936,36,5.0,26.849596,75.800512,26.859596,75.810512,2022-03-15,08:20:00,08:25:00,fog,Low ,scooter ,Urban ,15,Grocery,False,1.4901538808207615,36-45,2022-03-15 08:20:00,2022-03-15 08:25:00,8,Morning,5.0
xznm347660092,30,4.7,21.170798,72.790489,21.280798,72.900489,2022-03-29,22:25:00,22:30:00,windy,Low ,motorcycle ,Metropolitian ,24,Grocery,False,16.72143013885536,26-35,2022-03-29 22:25:00,2022-03-29 22:30:00,22,Evening,5.0
